site_id,date,time,so2,co,o3,no2,nox,no
52,2024-08-31,22,1,0,33,5,6,1
53,2024-08-31,22,1,0,31,9,10,1
45,2024-08-31,22,1,0,41,6,6,0
56,2024-08-31,22,1,0,37,10,10,1
58,2024-08-31,22,1,0,35,10,12,2
59,2024-08-31,22,1,0,31,10,11,1
60,2024-08-31,22,1,0,24,3,4,1
61,2024-08-31,22,1,0,24,1,2,1
62,2024-08-31,22,2,0,15,7,8,1
63,2024-08-31,22,0,0,18,5,5,1
57,2024-08-31,22,1,0,36,10,11,2
59,2024-08-31,21,1,0,34,10,10,1
56,2024-08-31,21,1,0,39,11,12,1
57,2024-08-31,21,1,0,38,11,13,2
58,2024-08-31,21,1,0,38,10,11,2
62,2024-08-31,21,1,0,16,4,5,1
60,2024-08-31,21,1,0,26,3,4,1
61,2024-08-31,21,1,0,14,1,2,1
53,2024-08-31,21,0,0,38,6,7,1
63,2024-08-31,21,0,0,17,4,5,1
54,2024-08-31,21,2,0,38,11,11,1
49,2024-08-31,21,2,0,38,10,10,0
52,2024-08-31,21,1,0,36,4,5,1
51,2024-08-31,21,6,0,33,8,9,1
50,2024-08-31,21,1,0,41,6,7,0
48,2024-08-31,21,1,0,40,5,6,1
47,2024-08-31,21,1,0,40,4,4,1
46,2024-08-31,21,0,0,43,8,9,1
45,2024-08-31,21,1,0,45,6,6,0
66,2024-08-31,21,1,0,35,5,5,0
44,2024-08-31,21,2,0,41,4,5,1
65,2024-08-31,21,1,0,41,4,5,0
78,2024-08-31,21,1,0,61,2,4,2
67,2024-08-31,21,1,1,24,32,51,19
84,2024-08-31,21,1,0,56,2,3,0
313,2024-08-31,21,1,0,11,1,2,1
312,2024-08-31,21,NULL,NULL,NULL,NULL,NULL,NULL
311,2024-08-31,21,0,0,23,12,13,1
204,2024-08-31,21,0,0,37,4,4,0
203,2024-08-31,21,1,0,40,6,7,1
202,2024-08-31,21,1,0,38,4,5,1
201,2024-08-31,21,2,0,36,6,8,2
85,2024-08-31,21,1,0,43,NULL,NULL,NULL
83,2024-08-31,21,1,0,34,4,5,1
68,2024-08-31,21,2,1,20,27,43,16
80,2024-08-31,21,1,0,9,2,3,0
42,2024-08-31,21,1,0,52,3,2,0
77,2024-08-31,21,1,0,31,13,13,1
75,2024-08-31,21,1,0,38,4,4,0
72,2024-08-31,21,1,0,45,4,5,1
71,2024-08-31,21,0,0,40,9,12,2
70,2024-08-31,21,1,0,39,12,14,2
69,2024-08-31,21,1,0,30,4,5,1
43,2024-08-31,21,1,0,42,8,9,1
64,2024-08-31,21,2,0,36,2,2,0
41,2024-08-31,21,1,0,37,3,4,1
10,2024-08-31,21,1,0,45,6,6,1
18,2024-08-31,21,2,0,28,30,31,1
17,2024-08-31,21,2,0,39,13,14,1
16,2024-08-31,21,1,1,24,32,49,16
15,2024-08-31,21,1,0,40,12,12,1
14,2024-08-31,21,2,0,43,10,11,1
13,2024-08-31,21,2,0,40,16,17,1
1,2024-08-31,21,2,0,48,6,7,0
11,2024-08-31,21,1,0,37,15,17,2
9,2024-08-31,21,1,0,45,10,11,1
20,2024-08-31,21,1,0,38,10,11,1
8,2024-08-31,21,1,0,49,9,10,1
7,2024-08-31,21,1,0,45,10,10,1
6,2024-08-31,21,2,0,42,13,15,2
5,2024-08-31,21,1,0,38,11,12,0
4,2024-08-31,21,1,0,42,9,10,1
3,2024-08-31,21,0,0,24,8,8,1
2,2024-08-31,21,1,0,46,10,11,1
40,2024-08-31,21,2,0,44,7,9,1
19,2024-08-31,21,2,0,40,12,13,0
12,2024-08-31,21,1,0,41,16,17,1
21,2024-08-31,21,2,0,29,9,10,1
30,2024-08-31,21,1,0,33,7,7,1
38,2024-08-31,21,0,0,32,2,4,1
37,2024-08-31,21,1,0,37,4,5,1
36,2024-08-31,21,3,0,31,9,10,1
35,2024-08-31,21,0,0,39,2,3,1
34,2024-08-31,21,1,0,45,3,4,0
33,2024-08-31,21,2,0,36,7,8,1
32,2024-08-31,21,1,0,36,6,7,1
31,2024-08-31,21,1,0,32,7,8,1
39,2024-08-31,21,2,0,46,5,5,0
29,2024-08-31,21,1,0,40,4,4,1
28,2024-08-31,21,1,0,39,5,6,0
27,2024-08-31,21,1,0,48,2,2,0
26,2024-08-31,21,1,0,29,4,5,1
25,2024-08-31,21,1,0,33,5,6,1
24,2024-08-31,21,1,0,24,12,13,1
23,2024-08-31,21,1,0,29,3,5,1
22,2024-08-31,21,2,0,30,12,13,0
59,2024-08-31,20,1,0,42,9,9,1
56,2024-08-31,20,1,0,48,8,9,1
57,2024-08-31,20,1,0,43,12,13,2
58,2024-08-31,20,0,0,43,10,11,2
63,2024-08-31,20,0,0,22,2,3,1
60,2024-08-31,20,1,0,29,3,3,1
61,2024-08-31,20,1,0,16,1,2,1
62,2024-08-31,20,2,0,16,5,7,2
53,2024-08-31,20,0,0,45,7,8,1
54,2024-08-31,20,1,0,47,9,9,0
49,2024-08-31,20,1,0,47,5,6,0
52,2024-08-31,20,1,0,41,4,5,1
51,2024-08-31,20,16,0,35,14,15,1
50,2024-08-31,20,1,0,43,8,8,0
66,2024-08-31,20,0,0,19,6,7,1
48,2024-08-31,20,1,0,45,6,6,1
47,2024-08-31,20,1,0,44,4,5,1
46,2024-08-31,20,0,0,47,7,8,1
45,2024-08-31,20,1,0,46,5,6,0
44,2024-08-31,20,1,0,46,3,4,1
65,2024-08-31,20,1,0,58,4,4,0
42,2024-08-31,20,1,0,49,4,3,0
67,2024-08-31,20,2,1,25,33,58,25
84,2024-08-31,20,0,0,52,2,2,0
313,2024-08-31,20,1,0,12,1,2,1
312,2024-08-31,20,NULL,NULL,NULL,NULL,NULL,NULL
311,2024-08-31,20,1,0,30,15,16,2
204,2024-08-31,20,0,0,39,6,6,0
203,2024-08-31,20,1,0,43,6,7,1
202,2024-08-31,20,1,0,43,6,7,1
201,2024-08-31,20,4,0,33,10,12,2
85,2024-08-31,20,1,0,41,2,1,0
83,2024-08-31,20,1,0,36,3,4,0
68,2024-08-31,20,2,1,21,34,47,13
80,2024-08-31,20,1,0,13,2,2,0
78,2024-08-31,20,1,0,63,2,4,1
77,2024-08-31,20,1,0,39,10,11,1
75,2024-08-31,20,1,0,48,2,3,0
72,2024-08-31,20,1,0,48,4,5,1
71,2024-08-31,20,0,0,43,13,15,3
70,2024-08-31,20,1,0,43,10,12,1
69,2024-08-31,20,1,0,39,4,4,1
43,2024-08-31,20,1,0,48,5,6,1
64,2024-08-31,20,2,0,44,2,2,1
41,2024-08-31,20,1,0,40,1,3,1
