site_id,date,time,aqi,status
35,2024-08-31,21,63,Moderate
34,2024-08-31,21,45,Good
33,2024-08-31,21,55,Moderate
32,2024-08-31,21,48,Good
31,2024-08-31,21,52,Moderate
39,2024-08-31,21,45,Good
29,2024-08-31,21,45,Good
28,2024-08-31,21,47,Good
27,2024-08-31,21,46,Good
26,2024-08-31,21,45,Good
25,2024-08-31,21,51,Moderate
24,2024-08-31,21,45,Good
23,2024-08-31,21,50,Good
22,2024-08-31,21,65,Moderate
59,2024-08-31,20,51,Moderate
56,2024-08-31,20,45,Good
57,2024-08-31,20,50,Good
58,2024-08-31,20,52,Moderate
63,2024-08-31,20,22,Good
60,2024-08-31,20,42,Good
61,2024-08-31,20,17,Good
62,2024-08-31,20,19,Good
53,2024-08-31,20,48,Good
54,2024-08-31,20,46,Good
49,2024-08-31,20,48,Good
52,2024-08-31,20,50,Good
51,2024-08-31,20,56,Moderate
50,2024-08-31,20,47,Good
66,2024-08-31,20,31,Good
48,2024-08-31,20,52,Moderate
47,2024-08-31,20,49,Good
46,2024-08-31,20,46,Good
45,2024-08-31,20,46,Good
44,2024-08-31,20,48,Good
65,2024-08-31,20,47,Good
42,2024-08-31,20,50,Good
67,2024-08-31,20,73,Moderate
84,2024-08-31,20,49,Good
313,2024-08-31,20,23,Good
312,2024-08-31,20,NULL,NULL
311,2024-08-31,20,56,Moderate
204,2024-08-31,20,58,Moderate
203,2024-08-31,20,46,Good
202,2024-08-31,20,42,Good
201,2024-08-31,20,62,Moderate
85,2024-08-31,20,45,Good
83,2024-08-31,20,43,Good
68,2024-08-31,20,64,Moderate
80,2024-08-31,20,18,Good
78,2024-08-31,20,67,Moderate
77,2024-08-31,20,42,Good
75,2024-08-31,20,47,Good
72,2024-08-31,20,74,Moderate
71,2024-08-31,20,46,Good
70,2024-08-31,20,66,Moderate
69,2024-08-31,20,62,Moderate
43,2024-08-31,20,46,Good
64,2024-08-31,20,41,Good
41,2024-08-31,20,44,Good
9,2024-08-31,20,56,Moderate
18,2024-08-31,20,55,Moderate
17,2024-08-31,20,54,Moderate
16,2024-08-31,20,78,Moderate
15,2024-08-31,20,66,Moderate
14,2024-08-31,20,71,Moderate
13,2024-08-31,20,60,Moderate
12,2024-08-31,20,64,Moderate
10,2024-08-31,20,51,Moderate
8,2024-08-31,20,68,Moderate
20,2024-08-31,20,57,Moderate
7,2024-08-31,20,64,Moderate
6,2024-08-31,20,97,Moderate
5,2024-08-31,20,100,Moderate
4,2024-08-31,20,77,Moderate
3,2024-08-31,20,67,Moderate
2,2024-08-31,20,71,Moderate
1,2024-08-31,20,90,Moderate
40,2024-08-31,20,43,Good
19,2024-08-31,20,61,Moderate
11,2024-08-31,20,50,Good
21,2024-08-31,20,64,Moderate
30,2024-08-31,20,52,Moderate
38,2024-08-31,20,60,Moderate
37,2024-08-31,20,56,Moderate
36,2024-08-31,20,58,Moderate
35,2024-08-31,20,59,Moderate
34,2024-08-31,20,46,Good
33,2024-08-31,20,56,Moderate
32,2024-08-31,20,46,Good
31,2024-08-31,20,52,Moderate
39,2024-08-31,20,46,Good
29,2024-08-31,20,45,Good
28,2024-08-31,20,47,Good
27,2024-08-31,20,49,Good
26,2024-08-31,20,44,Good
25,2024-08-31,20,55,Moderate
24,2024-08-31,20,44,Good
23,2024-08-31,20,52,Moderate
22,2024-08-31,20,62,Moderate
59,2024-08-31,19,58,Moderate
56,2024-08-31,19,49,Good
57,2024-08-31,19,52,Moderate
58,2024-08-31,19,56,Moderate
63,2024-08-31,19,23,Good
60,2024-08-31,19,45,Good
61,2024-08-31,19,NULL,NULL
62,2024-08-31,19,19,Good
53,2024-08-31,19,51,Moderate
54,2024-08-31,19,48,Good
49,2024-08-31,19,53,Moderate
52,2024-08-31,19,64,Moderate
51,2024-08-31,19,60,Moderate
50,2024-08-31,19,53,Moderate
65,2024-08-31,19,46,Good
48,2024-08-31,19,55,Moderate
47,2024-08-31,19,50,Good
46,2024-08-31,19,49,Good
45,2024-08-31,19,49,Good
44,2024-08-31,19,49,Good
64,2024-08-31,19,41,Good
312,2024-08-31,19,NULL,NULL
66,2024-08-31,19,31,Good
83,2024-08-31,19,46,Good
313,2024-08-31,19,26,Good
311,2024-08-31,19,58,Moderate
204,2024-08-31,19,67,Moderate
203,2024-08-31,19,47,Good
202,2024-08-31,19,44,Good
201,2024-08-31,19,59,Moderate
85,2024-08-31,19,46,Good
84,2024-08-31,19,49,Good
80,2024-08-31,19,19,Good
67,2024-08-31,19,71,Moderate
78,2024-08-31,19,64,Moderate
77,2024-08-31,19,42,Good
75,2024-08-31,19,49,Good
72,2024-08-31,19,71,Moderate
71,2024-08-31,19,51,Moderate
70,2024-08-31,19,77,Moderate
69,2024-08-31,19,74,Moderate
68,2024-08-31,19,63,Moderate
43,2024-08-31,19,48,Good
42,2024-08-31,19,58,Moderate
41,2024-08-31,19,44,Good
9,2024-08-31,19,50,Good
18,2024-08-31,19,49,Good
17,2024-08-31,19,52,Moderate
16,2024-08-31,19,76,Moderate
15,2024-08-31,19,74,Moderate
14,2024-08-31,19,90,Moderate
13,2024-08-31,19,67,Moderate
12,2024-08-31,19,62,Moderate
11,2024-08-31,19,53,Moderate
8,2024-08-31,19,71,Moderate
20,2024-08-31,19,54,Moderate
7,2024-08-31,19,71,Moderate
6,2024-08-31,19,115,"Unhealthy for Sensitive Groups"
5,2024-08-31,19,118,"Unhealthy for Sensitive Groups"
4,2024-08-31,19,97,Moderate
3,2024-08-31,19,84,Moderate
2,2024-08-31,19,77,Moderate
1,2024-08-31,19,90,Moderate
40,2024-08-31,19,45,Good
19,2024-08-31,19,56,Moderate
10,2024-08-31,19,51,Moderate
21,2024-08-31,19,74,Moderate
31,2024-08-31,19,52,Moderate
22,2024-08-31,19,58,Moderate
38,2024-08-31,19,61,Moderate
37,2024-08-31,19,58,Moderate
36,2024-08-31,19,64,Moderate
35,2024-08-31,19,54,Moderate
34,2024-08-31,19,48,Good
33,2024-08-31,19,57,Moderate
32,2024-08-31,19,44,Good
39,2024-08-31,19,46,Good
30,2024-08-31,19,52,Moderate
26,2024-08-31,19,44,Good
24,2024-08-31,19,44,Good
25,2024-08-31,19,52,Moderate
23,2024-08-31,19,61,Moderate
27,2024-08-31,19,52,Moderate
28,2024-08-31,19,49,Good
29,2024-08-31,19,46,Good
65,2024-08-31,18,44,Good
56,2024-08-31,18,50,Good
64,2024-08-31,18,41,Good
63,2024-08-31,18,24,Good
62,2024-08-31,18,33,Good
61,2024-08-31,18,19,Good
60,2024-08-31,18,48,Good
59,2024-08-31,18,61,Moderate
58,2024-08-31,18,60,Moderate
57,2024-08-31,18,54,Moderate
51,2024-08-31,18,67,Moderate
54,2024-08-31,18,50,Good
53,2024-08-31,18,53,Moderate
52,2024-08-31,18,71,Moderate
67,2024-08-31,18,69,Moderate
50,2024-08-31,18,55,Moderate
49,2024-08-31,18,58,Moderate
48,2024-08-31,18,59,Moderate
47,2024-08-31,18,50,Good
46,2024-08-31,18,53,Moderate
66,2024-08-31,18,33,Good
1,2024-08-31,18,90,Moderate
68,2024-08-31,18,60,Moderate
85,2024-08-31,18,48,Good
44,2024-08-31,18,53,Moderate
313,2024-08-31,18,28,Good
312,2024-08-31,18,NULL,NULL
311,2024-08-31,18,64,Moderate
204,2024-08-31,18,74,Moderate
203,2024-08-31,18,51,Moderate
202,2024-08-31,18,47,Good
201,2024-08-31,18,61,Moderate
84,2024-08-31,18,48,Good
