county,sitename,Date,pm2.5,pm10,no,no2,nox,co,so2,o3,AQI,status
Region XII (SOCCSKSARGEN),Tacurong,2015-09-01,10.942813604590633,25.32907819945604,7.636505406811588,12.395249388536085,10.616830041534268,0.3988671167227279,3.013252175900433,55.56159410076088,46.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2015-10-01,12.429812195327012,30.46289022857201,8.125253542372752,26.345971234703647,16.120721917764655,0.5490632267206208,3.4565742054532183,59.82543302200619,52.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2015-11-01,32.53416265640649,61.94239264598624,16.470607332081975,40.29669308087121,27.450057039191865,1.2152955829269798,10.503638276136869,15.660193394315838,94.0,emergency
Region XII (SOCCSKSARGEN),Tacurong,2015-12-01,35.49038221416885,54.99123052840301,24.8159611217912,51.54580273497308,40.47173484408507,1.16833443998869,8.928917280484953,45.62469607130527,101.0,emergency
Region XII (SOCCSKSARGEN),Tacurong,2016-01-01,9.886270873706223,17.197941759485595,5.243911093322472,10.045126796711308,8.103190081717903,0.3063205387844482,4.854646125088946,60.27970664143791,41.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2016-02-01,14.825116639741006,3.203716328406084,0.6326307778880481,3.29021791180921,2.079109805539547,0.057330548018587,0.7803749696929403,56.239475019072245,54.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2016-03-01,19.76396240577579,36.45984456107425,8.141037595,30.51915879085413,20.48990408437708,0.8821622514733094,9.402344078573634,46.04204866269688,67.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2016-04-01,16.490019679210132,41.94031480252863,11.420868307773056,19.50806946390986,16.39233701899195,0.4381098615196578,5.380788704153884,32.83646721644579,60.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2016-05-01,23.488334873468645,47.42078504398301,8.094282018757095,24.16592802106195,21.106944401114507,1.1036140149279456,8.623241180526668,56.56016579299302,75.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2016-06-01,12.095361038405777,21.080710570800548,4.767695729741133,14.75228597287254,10.345590302385244,0.353771716812172,5.052932088672576,41.51930990062352,51.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2016-07-01,10.828182061344028,24.550293802245065,3.45418501473162,16.27328844264212,10.455560932408083,0.3550955238688953,4.089471916686494,42.23244961458579,45.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2016-08-01,16.821876936912446,27.44456805456996,7.529488467707729,17.02646979006132,13.014657876617596,0.4114952451677621,3.917076446844232,13.323254442077229,61.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2016-09-01,17.605171295117515,30.42518617360301,12.278963484652651,18.66653500868086,16.40111420146676,0.4110690994837462,5.074394077762418,52.26417162339081,63.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2016-10-01,2.735263670826408,5.952062717021465,2.103951798512389,3.63100194912446,3.0395254862475305,0.066246897979627,1.1231031103323967,29.08541474764561,11.0,good
Region XII (SOCCSKSARGEN),Tacurong,2016-11-01,8.467150502883332,14.370738990763522,4.965499596804979,9.65931951828894,7.751154130999779,0.3551973515079537,4.8214234645360206,40.0518689165006,35.0,fair
Region XII (SOCCSKSARGEN),Tacurong,2016-12-01,14.155256325690576,30.84094471611917,4.891376107382984,21.310002845303902,13.88673084492405,0.5749552111176035,5.531917918036567,38.53224464439112,55.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-01-01,15.787500991396668,39.10471402343187,8.699593133763154,17.99344532482695,14.147310383052757,0.6483103011711876,6.242412371537113,30.88631026664107,59.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-02-01,13.192134373182014,30.75552583605125,10.545735308302346,21.45397452106599,18.13882091545545,0.6001932834612042,3.771272832189591,23.24037588889102,53.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-03-01,18.473657422895087,30.66646604105961,14.212422111993298,24.91450371730503,20.73727068952812,0.482623130288661,6.729594575711579,34.059762179061046,64.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-04-01,22.968838314536804,46.40850155828506,18.297102974777843,25.69416778605793,23.315373503242963,0.6375515264678783,5.596784768479064,36.01447120617456,74.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-05-01,28.781677685765825,55.32763964711122,18.69966769201712,30.481730616678902,26.066141103608896,1.4058586086123177,9.480406873158456,21.599557638059288,86.0,acutely unhealthy
